BB vs LIMP 13BB
Hand,AI,RAISE,CHECK
Jd7s,0,25,75
Jd8s,0,25,75
Jd9s,0,50,50
JdTs,0,0,100
Qd2c,25,25,50
Qd3c,0,0,100
Qd4c,25,0,75
Qd5c,0,0,100
Qd6c,0,33.3333333,66.6666667
Qd7c,0,25,75
Qd8c,25,25,50
Qd9c,0,25,75
QdTc,0,25,75
QdJc,0,25,75
QdQc,0,100,0
Qd2d,0,0,100
Qd3d,0,0,100
Qd4d,0,0,100
Qd5d,0,0,100
Qd6d,0,0,100
Qd7d,0,0,100
Qd8d,0,0,100
Qd9d,0,0,100
QdTd,0,50,50
QdJd,0,50,50
Qd2h,25,25,50
Qd3h,0,0,100
Qd4h,25,0,75
Qd5h,0,0,100
Qd6h,0,33.3333333,66.6666667
Qd7h,0,25,75
Qd8h,25,25,50
Qd9h,0,25,75
QdTh,0,25,75
QdJh,0,25,75
Qd2s,25,25,50
Qd3s,0,0,100
Qd4s,25,0,75
Qd5s,0,0,100
Qd6s,0,33.3333333,66.6666667
Qd7s,0,25,75
Qd8s,25,25,50
Qd9s,0,25,75
QdTs,0,25,75
QdJs,0,25,75
Kd2c,75,0,25
Kd3c,25,0,75
Kd4c,25,0,75
Kd5c,0,25,75
Kd6c,100,0,0
Kd7c,0,25,75
Kd8c,0,75,25
Kd9c,0,50,50
KdTc,50,25,25
KdJc,100,0,0
KdQc,0,100,0
KdKc,0,100,0
Kd2d,75,0,25
Kd3d,0,0,100
Kd4d,0,0,100
Kd5d,0,0,100
Kd6d,0,0,100
Kd7d,0,0,100
Kd8d,0,0,100
Kd9d,0,75,25
KdTd,0,100,0
KdJd,0,100,0
KdQd,0,100,0
Kd2h,75,0,25
Kd3h,25,0,75
Kd4h,25,0,75
Kd5h,0,25,75
Kd6h,100,0,0
Kd7h,0,25,75
Kd8h,0,75,25
Kd9h,0,50,50
KdTh,50,25,25
KdJh,100,0,0
KdQh,0,100,0
Kd2s,75,0,25
Kd3s,25,0,75
Kd4s,25,0,75
Kd5s,0,25,75
Kd6s,100,0,0
Kd7s,0,25,75
Kd8s,0,75,25
Kd9s,0,50,50
KdTs,50,25,25
KdJs,100,0,0
KdQs,0,100,0
Ad2c,100,0,0
Ad3c,100,0,0
Ad4c,100,0,0
Ad5c,100,0,0
Ad6c,100,0,0
Ad7c,100,0,0
Ad8c,100,0,0
Ad9c,100,0,0
AdTc,100,0,0
AdJc,100,0,0
AdQc,100,0,0
AdKc,100,0,0
AdAc,0,100,0
Ad2d,100,0,0
Ad3d,75,0,25
Ad4d,0,50,50
Ad5d,0,100,0
Ad6d,0,100,0
Ad7d,25,75,0
Ad8d,100,0,0
Ad9d,100,0,0
AdTd,50,50,0
AdJd,50,50,0
AdQd,25,75,0
AdKd,0,100,0
Ad2h,100,0,0
Ad3h,100,0,0
Ad4h,100,0,0
Ad5h,100,0,0
Ad6h,100,0,0
Ad7h,100,0,0
Ad8h,100,0,0
Ad9h,100,0,0
AdTh,100,0,0
AdJh,100,0,0
AdQh,100,0,0
AdKh,100,0,0
Ad2s,100,0,0
Ad3s,100,0,0
Ad4s,100,0,0
Ad5s,100,0,0
Ad6s,100,0,0
Ad7s,100,0,0
Ad8s,100,0,0
Ad9s,100,0,0
AdTs,100,0,0
AdJs,100,0,0
AdQs,100,0,0
AdKs,100,0,0
2h2c,100,0,0
2h2d,100,0,0
3h2c,0,25,75
3h3c,100,0,0
3h2d,0,25,75
3h3d,100,0,0
3h2h,0,0,100
3h2s,0,25,75
4h2c,0,0,100
4h3c,0,25,75
4h4c,100,0,0
4h2d,0,0,100
4h3d,0,25,75
4h4d,100,0,0
4h2h,0,0,100
4h3h,0,0,100
4h2s,0,0,100
4h3s,0,25,75
5h2c,0,25,75
5h3c,0,0,100
5h4c,0,25,75
5h5c,100,0,0
5h2d,0,25,75
5h3d,0,0,100
5h4d,0,25,75
5h5d,100,0,0
5h2h,0,0,100
5h3h,0,0,100
5h4h,75,0,25
5h2s,0,25,75
5h3s,0,0,100
5h4s,0,25,75
6h2c,0,0,100
6h3c,0,25,75
6h4c,0,0,100
6h5c,0,0,100
6h6c,75,25,0
6h2d,0,0,100
6h3d,0,25,75
6h4d,0,0,100
6h5d,0,0,100
6h6d,75,25,0
6h2h,0,0,100
6h3h,50,0,50
6h4h,75,0,25
6h5h,100,0,0
6h2s,0,0,100
6h3s,0,25,75
6h4s,0,0,100
6h5s,0,0,100
7h2c,0,0,100
7h3c,0,25,75
7h4c,0,25,75
7h5c,25,0,75
7h6c,50,0,50
7h7c,25,75,0
7h2d,0,0,100
7h3d,0,25,75
7h4d,0,25,75
7h5d,25,0,75
7h6d,50,0,50
7h7d,25,75,0
7h2h,0,0,100
7h3h,0,0,100
7h4h,0,0,100
7h5h,75,0,25
7h6h,100,0,0
7h2s,0,0,100
7h3s,0,25,75
7h4s,0,25,75
7h5s,25,0,75
7h6s,50,0,50
8h2c,0,0,100
8h3c,0,0,100
8h4c,0,25,75
8h5c,0,25,75
8h6c,0,25,75
8h7c,25,0,75
8h8c,0,100,0
8h2d,0,0,100
8h3d,0,0,100
8h4d,0,25,75
8h5d,0,25,75
8h6d,0,25,75
8h7d,25,0,75
8h8d,0,100,0
8h2h,0,0,100
8h3h,0,0,100
8h4h,25,0,75
8h5h,0,0,100
8h6h,100,0,0
8h7h,100,0,0
8h2s,0,0,100
8h3s,0,0,100
8h4s,0,25,75
8h5s,0,25,75
8h6s,0,25,75
8h7s,25,0,75
9h2c,0,25,75
9h3c,0,0,100
9h4c,0,0,100
9h5c,0,25,75
9h6c,0,25,75
9h7c,25,0,75
9h8c,0,0,100
9h9c,0,100,0
9h2d,0,25,75
9h3d,0,0,100
9h4d,0,0,100
9h5d,0,25,75
9h6d,0,25,75
9h7d,25,0,75
9h8d,0,0,100
9h9d,0,100,0
9h2h,0,25,75
9h3h,0,0,100
9h4h,0,0,100
9h5h,0,0,100
9h6h,25,0,75
9h7h,75,0,25
9h8h,0,50,50
9h2s,0,25,75
9h3s,0,0,100
9h4s,0,0,100
9h5s,0,25,75
9h6s,0,25,75
9h7s,25,0,75
9h8s,0,0,100
Th2c,0,25,75
Th3c,0,0,100
Th4c,0,50,50
Th5c,0,0,100
Th6c,0,25,75
Th7c,0,25,75
Th8c,25,25,50
Th9c,0,0,100
ThTc,0,100,0
Th2d,0,25,75
Th3d,0,0,100
Th4d,0,50,50
Th5d,0,0,100
Th6d,0,25,75
Th7d,0,25,75
Th8d,25,25,50
Th9d,0,0,100
ThTd,0,100,0
Th2h,0,0,100
Th3h,0,0,100
Th4h,0,0,100
Th5h,0,0,100
Th6h,25,0,75
Th7h,0,0,100
Th8h,0,0,100
Th9h,0,75,25
Th2s,0,25,75
Th3s,0,0,100
Th4s,0,50,50
Th5s,0,0,100
Th6s,0,25,75
Th7s,0,25,75
Th8s,25,25,50
Th9s,0,0,100
Jh2c,0,25,75
Jh3c,0,25,75
Jh4c,0,0,100
Jh5c,0,25,75
Jh6c,0,25,75
Jh7c,0,25,75
Jh8c,0,25,75
Jh9c,0,50,50
JhTc,0,0,100
JhJc,0,100,0
Jh2d,0,25,75
Jh3d,0,25,75
Jh4d,0,0,100
Jh5d,0,25,75
Jh6d,0,25,75
Jh7d,0,25,75
Jh8d,0,25,75
Jh9d,0,50,50
JhTd,0,0,100
JhJd,0,100,0
Jh2h,0,0,100
Jh3h,0,0,100
Jh4h,0,0,100
Jh5h,0,0,100
Jh6h,0,0,100
Jh7h,0,0,100
Jh8h,0,0,100
Jh9h,0,0,100
JhTh,0,75,25
Jh2s,0,25,75
Jh3s,0,25,75
Jh4s,0,0,100
Jh5s,0,25,75
Jh6s,0,25,75
Jh7s,0,25,75
Jh8s,0,25,75
Jh9s,0,50,50
JhTs,0,0,100
Qh2c,25,25,50
Qh3c,0,0,100
Qh4c,25,0,75
Qh5c,0,0,100
Qh6c,0,33.3333333,66.6666667
Qh7c,0,25,75
Qh8c,25,25,50
Qh9c,0,25,75
QhTc,0,25,75
QhJc,0,25,75
QhQc,0,100,0
Qh2d,25,25,50
Qh3d,0,0,100
Qh4d,25,0,75
Qh5d,0,0,100
Qh6d,0,33.3333333,66.6666667
Qh7d,0,25,75
Qh8d,25,25,50
Qh9d,0,25,75
QhTd,0,25,75
QhJd,0,25,75
QhQd,0,100,0
Qh2h,0,0,100
Qh3h,0,0,100
Qh4h,0,0,100
Qh5h,0,0,100
Qh6h,0,0,100
Qh7h,0,0,100
Qh8h,0,0,100
Qh9h,0,0,100
QhTh,0,50,50
QhJh,0,50,50
Qh2s,25,25,50
Qh3s,0,0,100
Qh4s,25,0,75
Qh5s,0,0,100
Qh6s,0,33.3333333,66.6666667
Qh7s,0,25,75
Qh8s,25,25,50
Qh9s,0,25,75
QhTs,0,25,75
QhJs,0,25,75
Kh2c,75,0,25
Kh3c,25,0,75
Kh4c,25,0,75
Kh5c,0,25,75
Kh6c,100,0,0
Kh7c,0,25,75
Kh8c,0,75,25
Kh9c,0,50,50
KhTc,50,25,25
KhJc,100,0,0
KhQc,0,100,0
KhKc,0,100,0
Kh2d,75,0,25
Kh3d,25,0,75
Kh4d,25,0,75
Kh5d,0,25,75
Kh6d,100,0,0
Kh7d,0,25,75
Kh8d,0,75,25
Kh9d,0,50,50
KhTd,50,25,25
KhJd,100,0,0
KhQd,0,100,0
KhKd,0,100,0
Kh2h,75,0,25
Kh3h,0,0,100
Kh4h,0,0,100
Kh5h,0,0,100
Kh6h,0,0,100
Kh7h,0,0,100
Kh8h,0,0,100
Kh9h,0,75,25
KhTh,0,100,0
KhJh,0,100,0
KhQh,0,100,0
Kh2s,75,0,25
Kh3s,25,0,75
Kh4s,25,0,75
Kh5s,0,25,75
Kh6s,100,0,0
Kh7s,0,25,75
Kh8s,0,75,25
Kh9s,0,50,50
KhTs,50,25,25
KhJs,100,0,0
KhQs,0,100,0
Ah2c,100,0,0
Ah3c,100,0,0
Ah4c,100,0,0
Ah5c,100,0,0
Ah6c,100,0,0
Ah7c,100,0,0
Ah8c,100,0,0
Ah9c,100,0,0
AhTc,100,0,0
AhJc,100,0,0
AhQc,100,0,0
AhKc,100,0,0
AhAc,0,100,0
Ah2d,100,0,0
Ah3d,100,0,0
Ah4d,100,0,0
Ah5d,100,0,0
Ah6d,100,0,0
Ah7d,100,0,0
Ah8d,100,0,0
Ah9d,100,0,0
AhTd,100,0,0
AhJd,100,0,0
AhQd,100,0,0
AhKd,100,0,0
AhAd,0,100,0
Ah2h,100,0,0
Ah3h,75,0,25
Ah4h,0,50,50
Ah5h,0,100,0
Ah6h,0,100,0
Ah7h,25,75,0
Ah8h,100,0,0
Ah9h,100,0,0
AhTh,50,50,0
AhJh,50,50,0
