BB vs OR 22BB
Hand,3BAI,3BNAI,CALL,FOLD
Jd8h,0,0,100,0
Jd9h,0,0,100,0
JdTh,0,0,100,0
Jd2s,0,0,0,100
Jd3s,0,0,25,75
Jd4s,0,0,50,50
Jd5s,0,25,75,0
Jd6s,0,0,75,25
Jd7s,0,25,75,0
Jd8s,0,0,100,0
Jd9s,0,0,100,0
JdTs,0,0,100,0
Qd2c,0,25,75,0
Qd3c,0,25,75,0
Qd4c,0,25,75,0
Qd5c,0,25,75,0
Qd6c,25,0,75,0
Qd7c,0,0,100,0
Qd8c,0,0,100,0
Qd9c,0,25,75,0
QdTc,0,25,75,0
QdJc,0,25,75,0
QdQc,0,100,0,0
Qd2d,0,0,100,0
Qd3d,0,0,100,0
Qd4d,0,0,100,0
Qd5d,0,0,100,0
Qd6d,50,0,50,0
Qd7d,0,0,100,0
Qd8d,0,0,100,0
Qd9d,0,0,100,0
QdTd,0,0,100,0
QdJd,0,0,100,0
Qd2h,0,25,75,0
Qd3h,0,25,75,0
Qd4h,0,25,75,0
Qd5h,0,25,75,0
Qd6h,25,0,75,0
Qd7h,0,0,100,0
Qd8h,0,0,100,0
Qd9h,0,25,75,0
QdTh,0,25,75,0
QdJh,0,25,75,0
Qd2s,0,25,75,0
Qd3s,0,25,75,0
Qd4s,0,25,75,0
Qd5s,0,25,75,0
Qd6s,25,0,75,0
Qd7s,0,0,100,0
Qd8s,0,0,100,0
Qd9s,0,25,75,0
QdTs,0,25,75,0
QdJs,0,25,75,0
Kd2c,0,25,75,0
Kd3c,0,25,75,0
Kd4c,0,25,75,0
Kd5c,20,20,60,0
Kd6c,75,0,25,0
Kd7c,0,0,100,0
Kd8c,0,0,100,0
Kd9c,0,50,50,0
KdTc,0,25,75,0
KdJc,50,0,50,0
KdQc,75,0,25,0
KdKc,0,100,0,0
Kd2d,0,0,100,0
Kd3d,0,0,100,0
Kd4d,0,0,100,0
Kd5d,25,0,75,0
Kd6d,25,0,75,0
Kd7d,0,0,100,0
Kd8d,0,0,100,0
Kd9d,0,0,100,0
KdTd,0,0,100,0
KdJd,0,0,100,0
KdQd,0,50,50,0
Kd2h,0,25,75,0
Kd3h,0,25,75,0
Kd4h,0,25,75,0
Kd5h,20,20,60,0
Kd6h,75,0,25,0
Kd7h,0,0,100,0
Kd8h,0,0,100,0
Kd9h,0,50,50,0
KdTh,0,25,75,0
KdJh,50,0,50,0
KdQh,75,0,25,0
Kd2s,0,25,75,0
Kd3s,0,25,75,0
Kd4s,0,25,75,0
Kd5s,20,20,60,0
Kd6s,75,0,25,0
Kd7s,0,0,100,0
Kd8s,0,0,100,0
Kd9s,0,50,50,0
KdTs,0,25,75,0
KdJs,50,0,50,0
KdQs,75,0,25,0
Ad2c,50,25,25,0
Ad3c,75,0,25,0
Ad4c,75,0,25,0
Ad5c,50,0,50,0
Ad6c,50,25,25,0
Ad7c,75,25,0,0
